,code,location,longitude,latitude
181,181,"Observatoire des Makes, Saint-Louis",55.4100 ,21.11170043872865
182,182,"St. Paul, Reunion",55.2586 ,20.942436136932404
183,183,"Starlab Observatory, Karachay-Cherkessia",41.4200 ,43.534479593734794
184,184,"Valmeca Observatory, Puimichel", 6.0361 ,43.87860391129704
185,185,Observatoire Astronomique Jurassien-Vicques, 7.4219 ,47.25317910342416
186,186,Kitab,66.8821 ,39.032396808666235
187,187,"Astronomical Observatory, Borowiec",17.0733 ,52.18310664497355
188,188,Majdanak,66.89555,38.55051599444911
189,189,Geneva (before 1967), 6.1514 ,46.10014537811168
190,190,Gissar,68.6819 ,38.38832597736271
191,191,Dushanbe,68.7811 ,38.458393700925015
192,192,Tashkent,69.2936 ,41.22477654192897
193,193,Sanglok,69.2178 ,38.14223189172634
194,194,Tivoli,18.0094 ,23.35445971275172
195,195,"Untermenzing Observatory, Munich",11.4492 ,48.08402929163096
196,196,Homburg-Erbach, 7.3331 ,49.23485325218885
197,197,Bastia,12.1836 ,44.16058770241139
198,198,Wildberg, 8.75674,48.53250840951896
199,199,Buthiers, 2.4380 ,48.19557822702011
200,200,Beersel Hills Observatory, 4.3036 ,50.6652567910719
201,201,Jonathan B. Postel Observatory, 7.6033 ,45.67640147119571
202,202,"Tamaris Observatoire, La Seyne sur Mer", 5.8997 ,42.99863072925784
203,203,GiaGa Observatory, 8.9955 ,45.44368232849348
204,204,Schiaparelli Observatory, 8.7708 ,45.76123407208311
205,205,"Obs. Casalecchio di Reno, Bologna",11.2731 ,44.37482773460067
206,206,"Haagaar Observatory, Eina",10.5667 ,60.514715960378
207,207,Osservatorio Antonio Grosso, 9.3065 ,45.44770260096525
208,208,Rivalta, 9.5875 ,44.852076256131
209,209,"Asiago Observatory, Cima Ekar-ADAS",11.56883,45.74091741367358
210,210,Alma-Ata,76.9573 ,43.078384302144634
211,211,Scandicci,11.1764 ,43.66575075789754
212,212,Observatorio La Dehesilla,55.35747,36.558126504323695
213,213,Observatorio Montcabre, 2.38539,41.423220102743926
214,214,Garching Observatory,11.6569 ,48.157135049170215
215,215,Buchloe,10.7328 ,47.916725228763326
216,216,Observatoire des Cote de Meuse, 5.6914 ,48.90420037605267
217,217,Assah,77.87114,43.10404807313257
218,218,Hyderabad,78.4541 ,17.361702389136696
219,219,Japal-Rangapur,78.7283 ,17.024431260055756
220,220,"Vainu Bappu Observatory, Kavalur",78.8263 ,12.506882726258565
221,221,"IAS Observatory, Hakos",16.36170,23.127803863649262
222,222,Yerres-Canotiers, 2.4939 ,48.61388994590235
223,223,Madras,80.2464 ,13.025462327071336
224,224,Ottmarsheim, 7.50171,47.687179226263666
225,225,Northwood Ridge Observatory,88.8250 ,43.13037003048535
226,226,"Guido Ruggieri Observatory, Padua",11.8858 ,45.337446432270994
227,227,"OrbitJet Observatory, Colden",81.2853 ,42.53792426116477
228,228,"Bruno Zugna Observatory, Trieste",13.8750 ,45.54250059015355
229,229,"G. C. Gloriosi Astronomical Observatory, Salerno",14.9743 ,40.5921906563726
230,230,Mt. Wendelstein Observatory,12.0133 ,47.59242592373916
231,231,Vesqueville, 5.3983 ,49.90701289534399
232,232,Masquefa Observatory, 1.3317 ,41.40962210927086
233,233,"Sauro Donati Astronomical Observatory, San Vito",10.5403 ,43.75861317015911
234,234,Coddenham Observatory, 1.12833,52.05164005146826
235,235,"CAST Observatory, Talmassons",13.11352,45.83963540798001
236,236,Tomsk,84.9465 ,56.37877938421225
237,237,Baugy, 2.7333 ,46.98420107389073
238,238,Grorudalen Optical Observatory,10.9094 ,59.86494265975978
239,239,Trebur, 8.4114 ,49.829825788056624
240,240,Herrenberg Sternwarte, 8.83317,48.52386756887145
241,241,Schaerding,13.4700 ,48.344520050382386
242,242,Varennes, 1.6956 ,43.380372510286385
243,243,"Umbrella Observatory, Fredenbeck", 9.4130 ,53.436023698394294
244,244,Geocentric Occultation Observation, 0.00000,90.0
245,246,Klet Observatory-KLENOT,14.28476,48.759892126318796
246,248,Hipparcos, 0.00000,90.0
247,251,Arecibo,93.24692,18.272330752176668
248,252,"Goldstone DSS 13, Fort Irwin",43.20512,35.142895531110426
249,253,"Goldstone DSS 14, Fort Irwin",43.11047,35.32226246334214
250,254,"Haystack, Westford",88.51128,42.5258040023885
251,255,Yevpatoriya,33.18689,45.09244224682066
252,256,Green Bank,80.16017,38.330069050738686
253,257,"Goldstone DSS 25, Fort Irwin",43.12461,35.23466466735235
254,259,EISCAT Tromso UHF,19.22586,69.52320480977318
255,260,Siding Spring Observatory-DSS,49.0661 ,31.173916462768744
256,261,Palomar Mountain-DSS,43.14022,33.245940627890626
257,262,"European Southern Observatory, La Silla-DSS",89.26626,29.13911562551932
258,266,New Horizons KBO Search-Subaru,04.52344,19.660792268152335
259,267,New Horizons KBO Search-CFHT,04.53044,19.660111078378122
260,268,New Horizons KBO Search-Magellan/Clay,89.30803,28.89389700447517
261,269,New Horizons KBO Search-Magellan/Baade,89.30914,28.894608466694745
262,276,Plonsk,20.38279,52.53367779333772
263,277,"Royal Observatory, Blackford Hill, Edinburgh",56.8175 ,55.83486415580974
264,278,"Peking, Transit of Venus site",16.4494 ,39.809265426609606
265,279,"Seeberg Observatory, Gotha (1787-1857)",10.72822,50.83720200294821
266,280,Lilienthal, 8.9118 ,53.04841216411836
267,281,Bologna,11.3522 ,44.39940052828095
268,282,Nimes, 4.3603 ,43.74287080522989
269,283,Bremen, 8.8163 ,52.98385797735532
270,284,Driesen,15.8311 ,52.745248346368264
271,285,"Flammarion Observatory, Juvisy", 2.3708 ,48.59708709141261
272,286,Yunnan Observatory,02.7883 ,24.91415080320922
273,290,Mt. Graham-VATT,50.10799,32.56908267168866
274,291,LPL/Spacewatch II,48.40024,31.845821033362135
275,292,"Burlington, New Jersey",85.1058 ,39.97721517748933
276,293,Burlington remote site,85.5899 ,39.70354785051874
277,294,"Astrophysical Obs., College of Staten Island",85.8467 ,40.50846557062463
278,295,"Catholic University Observatory, Washington",83.0000 ,38.840029514757376
279,296,"Dudley Observatory, Albany (after 1893)",86.2200 ,42.55741252460938
280,297,Middlebury,86.819  ,43.92074545091947
281,298,Van Vleck Observatory,87.3408 ,41.45897316919175
282,299,"Bosscha Observatory, Lembang",07.6160 ,6.705227846770015
283,300,Bisei Spaceguard Center-BATTeRS,33.54444,34.57641940829487
284,301,Mont Megantic,88.8467 ,45.34872309624316
285,302,University of the Andes station,88.88   ,8.109614455994183
286,303,"OAN de Llano del Hato, Merida",89.1296 ,8.544795277719713
287,304,Las Campanas Observatory,89.2980 ,28.88512098718181
288,305,"Purple Mountain, Hainan Island station",09.5514 ,34.84908304276002
289,306,"Observatorio Taya Beixo, Barquisimeto",90.6769 ,10.012449058831
290,307,"Shattuck Observatory, Hanover",87.7166 ,43.60597014959083
291,309,Cerro Paranal,89.59569,24.50252425988178
292,310,Minor Planet Center Test Code,88.87164,42.285448259739034
293,312,"Tsingtao field station, Xisha Islands",12.334  ,16.784034347565594
294,318,Quinns Rock,15.691  ,31.563561733730726
295,319,"Perth Observatory, Perth-Lowell Telescope",16.1350 ,31.91535913463126
296,320,Chiro Observatory,16.4381 ,30.841365108965014
297,321,Craigie,15.7571 ,31.70339191139363
298,322,"Perth Observatory, Bickley-MCT",16.1340 ,31.91644289868259
299,323,"Perth Observatory, Bickley",16.1350 ,31.91644289868259
300,324,"Peking Observatory, Shaho Station",16.3277 ,40.00574388512429
301,327,"Peking Observatory, Xinglong Station",17.5750 ,40.29010669494834
302,330,"Purple Mountain Observatory, Nanking",18.8209 ,31.974917371717474
303,333,Desert Eagle Observatory,49.5236 ,31.857872453746484
304,334,Tsingtao,20.3196 ,35.97728101674326
305,337,"Sheshan, formerly Zo-Se",21.1843 ,31.009710459705474
306,340,Toyonaka,35.4853 ,34.715500605335045
307,341,Akashina,37.9486 ,36.22621530198956
308,342,Shishikui,34.3189 ,33.46217635104081
309,343,Younchun,27.1258 ,38.10510885518486
310,344,Bohyunsan Optical Astronomy Observatory,28.9767 ,36.05912625527159
311,345,Sobaeksan Optical Astronomy Observatory,28.4575 ,36.8259484028005
312,346,KNUE Astronomical Observatory,27.3854 ,36.41484683315111
313,347,Utsunomiya-Imaizumi,39.9086 ,36.46982638691061
314,348,Ayabe,35.2669 ,35.21638711708442
315,349,Ageo,39.56622,35.86477348474025
316,350,Kurohone,39.2635 ,36.38588148296253
317,351,Sakamoto,35.8678 ,34.9762230475165
318,352,Konan,36.1778 ,34.85409621173308
319,353,Nishi Kobe,35.0648 ,34.649044459384264
320,354,Kawachi,40.0206 ,36.765683887893964
321,355,Hadano,39.2133 ,35.29579475070535
322,356,Kogota,41.0867 ,38.446416085942005
323,357,Shimotsuma,40.0064 ,36.09220846747396
324,358,Nanyo,40.1586 ,37.94885583518412
325,359,Wakayama,35.1719 ,34.124553774376885
326,360,Kuma Kogen,32.9442 ,33.57734386192611
327,361,Sumoto,34.8933 ,34.260153536493355
328,362,Ray Observatory,40.6550 ,42.54639830657914
329,363,Yamada,30.7703 ,33.471527295868945
330,364,YCPM Kagoshima Station,30.5747 ,31.555898755041536
331,365,Uto Observatory,35.9579 ,34.31304200045736
332,366,Miyasaka Observatory,38.3003 ,35.76019596905275
333,367,Yatsuka,33.1670 ,35.408682810148605
334,368,Ochiai,38.8117 ,35.69543672240686
335,369,Chichibu,39.1500 ,35.894297162859
336,370,Kochi,33.5273 ,33.46321545892883
337,371,Tokyo-Okayama,33.5965 ,34.47937771548183
338,372,Geisei,33.8276 ,33.436189379950314
339,373,Oishi,35.3397 ,34.0386673333865
340,374,Minami-Oda Observatory,34.7196 ,35.000204207888984
341,375,Uzurano,34.8708 ,34.855098769947375
342,376,Uenohara,39.0392 ,35.58924668529268
343,377,"Kwasan Observatory, Kyoto",35.7933 ,34.90118925496838
344,378,Murou,36.0142 ,34.47532911924747
345,379,Hamamatsu-Yuto,37.6279 ,34.61375727409208
346,380,Ishiki,37.0349 ,34.72455418707575
347,381,Tokyo-Kiso,37.62542,35.69131223209143
348,382,Tokyo-Norikura,37.5553 ,35.98703293744634
349,383,Chirorin,37.8959 ,36.66121581423007
350,384,Shimada,38.1792 ,34.72455418707575
351,385,Nihondaira Observatory,38.4680 ,34.87614667734672
352,386,Yatsugatake-Kobuchizawa,38.3217 ,35.785679294503915
353,387,Tokyo-Dodaira,39.1944 ,35.90406858331717
354,388,Tokyo-Mitaka,39.5421 ,35.58038510429033
355,389,Tokyo (before 1938),39.7447 ,35.5636413331098
356,390,Utsunomiya,39.8725 ,36.462114266076064
357,391,"Sendai Observatory, Ayashi Station",40.77843,38.170332215466644
358,392,JCPM Sapporo Station,41.3667 ,42.81516540771241
359,393,JCPM Sakura Station,40.1292 ,36.00165653456408
360,394,JCPM Hamatonbetsu Station,42.3208 ,45.01513259529574
361,395,Tokyo-Asahikawa,42.3583 ,43.74701397093061
362,396,Asahikawa,42.4208 ,43.647491399375255
363,397,Sapporo Science Center,41.4761 ,42.93726542944791
364,398,Nagatoro,39.1080 ,36.03088832996395
365,399,Kushiro,44.5900 ,42.98098492491352
366,400,Kitami,43.7827 ,43.66077153759346
367,401,Oosato,39.4208 ,36.021146677276086
368,402,Dynic Astronomical Observatory,36.3078 ,35.114915669411175
369,403,Kani,37.0556 ,35.32057776757287
370,404,Yamamoto,40.9292 ,37.730302395565175
371,405,Kamihoriguchi,39.3292 ,36.20585058769914
372,406,Bibai,41.8233 ,43.15885696478701
373,407,Kahoku,40.3099 ,38.34771098196353
374,408,Nyukasa,38.1747 ,35.785679294503915
375,409,Kiyose and Mizuho,39.5211 ,35.674810135761305
376,410,Sengamine,34.8910 ,35.03215680848512
377,411,Oizumi,39.4170 ,36.15829442073963
378,412,Iwaki,40.5991 ,36.85939213537728
379,413,Siding Spring Observatory,49.06608,31.174469893653026
380,414,Mount Stromlo,49.0077 ,35.22036120012367
381,415,Kambah,49.0636 ,35.2987695121002
382,416,Barton,49.1336 ,35.21340629851132
383,417,Yanagida Astronomical Observatory,37.1371 ,37.23977600103331
384,418,Tamworth,50.94034,30.989797334054565
385,419,Windsor,50.8329 ,33.51928501669726
386,420,Sydney,51.2050 ,33.77161115015365
387,421,"Mt. Kajigamori, Otoyo",33.7650 ,33.64979303303088
388,422,Loomberah,51.0461 ,31.236950787806407
389,423,North Ryde,51.12473,33.71518948692902
390,424,Macquarie,49.0658 ,35.15672892968438
391,425,"Taylor Range Observatory, Brisbane",52.9316 ,27.381989703469824
392,426,Woomera,36.8217 ,31.109658395208946
393,427,Stockport,38.7283 ,34.24182928636309
394,428,Reedy Creek,53.3970 ,28.028982791200153
395,429,Hawker,49.0400 ,35.15374370545153
396,430,"Rainbow Observatory, near Coonabarabran",49.2123 ,31.184983402244086
397,431,"Mt. Tarana Observatory, Bathurst",49.7578 ,33.334147798928335
398,432,Boambee,53.08222,30.2551750475286
399,433,Bagnall Beach Observatory,52.1078 ,32.65126483453415
400,434,S. Benedetto Po,10.9206 ,44.95596688695105
401,435,"G. Colombo Astronomical Observatory, Padua",11.8936 ,45.30763325510073
402,436,Osservatorio di Livergnano,11.3356 ,44.227164020847695
403,437,Haverford,84.6971 ,39.91474947557096
404,438,"Smith College Observatory, Northampton",87.3621 ,42.218301205400785
405,439,"ROTSE-III, Los Alamos",53.2539 ,35.751371150582635
406,440,Elginfield Observatory,78.6842 ,43.092643469661624
407,441,"Swilken Brae, St. Andrews",57.1697 ,56.2486378653779
408,442,Gualba Observatory,57.4822 ,41.608464350328894
409,443,"Obs. Astronomico Plomer, Buenos Aires",01.4656 ,34.543088260047746
410,444,Star Cruiser Observatory,43.2794 ,33.37687222489618
411,445,Observatorio d'Ontinyent,59.4200 ,38.72110913814427
412,446,"Kingsnake Observatory, Seguin",62.1666 ,29.484369327142442
413,447,Centennial Observatory,55.2056 ,39.50761837172253
414,448,"Desert Moon Observatory, Las Cruces",53.2801 ,32.28196387395616
415,449,"Griffin Hunter Observatory, Bethune",79.6503 ,34.29270875582484
416,450,"Carla Jane Observatory, Charlotte",79.3339 ,35.05809959197978
417,451,"West Skies Observatory, Mulvane",62.7569 ,37.394775559691055
418,452,"Big Cypress Observatory, Fort Lauderdale",79.1063 ,26.103591118375952
419,453,Edwards Raven Observatory,42.1331 ,34.8851638137249
420,454,Maryland Space Grant Consortium Observatory,83.37678,39.236472849197796
421,455,CBA Concord,37.9636 ,37.896649984936865
422,456,Daventry Observatory,58.8278 ,52.15844277765392
423,457,Partizanske,18.3403 ,48.53136146156667
424,458,Guadarrama Observatory,55.9806 ,40.54285422675936
425,459,"Smith River Observatory, Danbury",88.1172 ,43.44206785584787
426,460,"Area 52 Observatory, Nashville",65.9981 ,33.890988209461675
427,461,"University of Szeged, Piszkesteto Stn. (Konkoly)",19.8943 ,47.81473896164819
428,462,Mount Belleview Observatory,83.0842 ,38.82632359214964
429,463,"Sommers-Bausch Observatory, Boulder",54.7375 ,39.89152718929372
430,464,"Toby Point Observatory, Narragansett",88.5013 ,41.31511453335169
431,465,Takapuna,74.7801 ,36.71108565681376
432,466,"Mount Molehill Observatory, Auckland",74.8487 ,36.85079480629982
433,467,Auckland Observatory,74.7766 ,36.814475977769796
434,468,"Astronomical Observatory, Campo Catino",13.3296 ,41.7101779349005
435,469,Courroux, 7.3820 ,47.255519700042775
436,470,Ceccano,13.32756,41.47299047992614
437,471,Houstrup, 8.2389 ,55.692096313220695
438,472,Merlette, 6.3203 ,44.58172236740619
439,473,Remanzacco,13.31661,45.98927571957679
